a01,Der Lappen liegt auf dem Eisschrank.
a02,Das will sie am Mittwoch abgeben.
a04,Heute Abend könnte ich es ihm sagen.
a05,Das schwarze Stück Papier befindet sich da oben neben dem Holzstück.
a07,In sieben Stunden wird es soweit sein.
b01,Was sind denn das für Tüten, die da unter dem Tisch stehen?
b02,Sie haben es gerade hoch getragen und jetzt gehen sie wieder runter.
b03,An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
b09,Ich will das eben wegbringen und dann mit Karl was trinken gehen.
b10,Die wird auf dem Platz sein, wo wir sie immer hinlegen.
